V1 V2 w Y_obs
 1.038236499 -0.243675981  1.000000000  0.548274246
-0.399196265  1.747462533  0.000000000  1.643601331
 0.033165498 -0.267906794  1.000000000 -0.229123367
 0.790009988 -0.679844795  1.000000000 -0.076484125
 0.117173356 -0.026499180  1.000000000  0.055363352
-2.111235371 -0.170900355  1.000000000 -1.766872311
-0.908104486 -0.881960571  1.000000000 -1.577002749
 1.020795973 -0.924522496  1.000000000 -0.142351321
-0.101672195 -0.252321182  0.000000000 -0.279487871
-2.431747494 -0.431653644  1.000000000 -2.247864646
 1.156718345 -0.462358229  0.000000000 -0.164007950
-0.477085166 -0.217020591  0.000000000 -0.331748060
 0.284253697  0.769999652  0.000000000  0.846115304
-0.746376472  0.870455287  0.000000000  0.701478533
-0.675801395 -0.830316389  1.000000000 -1.320503693
 2.487278531  1.864875246  1.000000000  3.723643537
-0.281678855 -1.192446252  0.000000000 -1.266045752
 1.036146009  0.786584947  0.000000000  1.064806707
 1.021171830 -0.291793516  1.000000000  0.466072565
-0.759323138 -0.248985422  0.000000000 -0.431121794
-0.451234942 -0.888834382  0.000000000 -1.005968162
 0.687260464 -0.162686857  1.000000000  0.355829057
-0.832602984  0.686075796  1.000000000  0.064545423
-0.356710788  0.267610781  0.000000000  0.198938637
-0.296668062 -0.469918183  0.000000000 -0.547251048
 0.775720516 -0.660072631  0.000000000 -0.465886369
 0.955795668  0.503719660  0.000000000  0.748268401
 0.153231778  0.291364248  1.000000000  0.404148038
 0.045186220 -0.351599490  1.000000000 -0.317513032
 1.186752800  0.332515029  0.000000000  0.620892692
-0.226508326 -1.083478129  1.000000000 -1.253304413
 0.556600316 -0.553504047  0.000000000 -0.394078027
-0.329800828  2.123359830  1.000000000  1.862945372
-0.667344998 -0.826976727  0.000000000 -1.002547016
 1.428481290  0.231793786  1.000000000  1.305002197
 0.789446389  0.091724744  0.000000000  0.276008114
 0.268898309  1.886697483  0.000000000  1.939718744
 0.341670096 -0.775937987  0.000000000 -0.697953713
-0.151153562 -0.413475808  1.000000000 -0.513142662
-2.143831373 -0.882561448  0.000000000 -1.424882491
